name,address,business_status,latitude,longitude
Pista de pádel,"Diseminado Diseminados, 14, Villovieco",OPERATIONAL,42.2929338,-4.4833536
Pistas de pádel,"C. la Motilla, 4, Villagonzalo Pedernales",OPERATIONAL,42.3004506,-3.739499699999999
Pistas de pádel,"C. la Motilla, 4, Villagonzalo Pedernales",OPERATIONAL,42.3004506,-3.739499699999999
Pista Pádel,Unnamed Road 09390,OPERATIONAL,42.0951206,-3.6916684
Pista de padel,"Calle la Iglesia, 22, Igea",OPERATIONAL,42.070266,-2.0075315
Gpadel,"C. Zapatilleros, 54, Arnedo",OPERATIONAL,42.2339439,-2.0859012
Pista de Pádel,El Villar de Arnedo,OPERATIONAL,42.3206131,-2.0924985
Padel Club Rioja,"Av. Logroño, 42, Arnedo",CLOSED_TEMPORARILY,42.2324989,-2.0937533
Inpadel,"C. San Lázaro, 45, Calahorra",OPERATIONAL,42.2920494,-1.9448715
Pista de padel,"Calle la Iglesia, 22, Igea",OPERATIONAL,42.070266,-2.0075315
Gpadel,"C. Zapatilleros, 54, Arnedo",OPERATIONAL,42.2339439,-2.0859012
Pista de Pádel,El Villar de Arnedo,OPERATIONAL,42.3206131,-2.0924985
Pistas de padel.,Funes,CLOSED_TEMPORARILY,42.3182045,-1.8019486
Pistas Deportivas Arrabal,Cintruénigo,OPERATIONAL,42.0749402,-1.8065412
Padel Club Rioja,"Av. Logroño, 42, Arnedo",CLOSED_TEMPORARILY,42.2324989,-2.0937533
Ultimate Padel Villafranca,"C. Carretera, Villafranca",OPERATIONAL,42.2725754,-1.7445322
RÍOS Pádel Club,"C. de La Rioja, Tudela",OPERATIONAL,42.0654417,-1.6347392
Pádel Castejón,"Pol. Ind., Castejón",OPERATIONAL,42.1736073,-1.6879819
Pistas de padel.,Funes,CLOSED_TEMPORARILY,42.3182045,-1.8019486
Pistas Deportivas Arrabal,Cintruénigo,OPERATIONAL,42.0749402,-1.8065412
RÍOS Pádel Club,"C. de La Rioja, Tudela",OPERATIONAL,42.0654417,-1.6347392
MisterPadelEjea,Ejea de los Caballeros,OPERATIONAL,42.1320478,-1.1708125
MisterPadelEjea,Ejea de los Caballeros,OPERATIONAL,42.1320478,-1.1708125
Pista de pádel,"50614, Zaragoza, Spain",OPERATIONAL,42.1525322,-0.7584025
"Zonepadel, Paddle Club in Huesca","Poligono Sepes, Ronda de la Industria, 133, Huesca",OPERATIONAL,42.1442861,-0.3879114
