Insee - Statistiques locales; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; 
Code;Libellé;Population municipale 2020;Répartition de la pop. en 3 classes d'âges 2019 - Moins de 25 ans;Répartition de la pop. en 3 classes d'âges 2019 - Entre 25 et 64 ans;Répartition de la pop. en 3 classes d'âges 2019 - 65 ans ou plus;Part des pers. âgées de 25 à 64 ans 2019
200000172;CC Faucigny-Glières;27218;8276;14855;4049;54.7
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;35917;11123;18040;6493;50.6
200000545;CC des Portes de Romilly-sur-Seine;18739;5465;8713;4415;46.9
200000628;CC Rhône Lez Provence;24224;6801;11653;5384;48.9
200000800;CC Cœur de Sologne;10437;2613;5175;2729;49.2
200000925;CC de la Plaine Dijonnaise;22009;6687;11790;3573;53.5
200000933;CC Sauldre et Sologne;14511;3307;7005;4243;48.1
200004802;CC du Pays de Fayence;28550;7232;14010;7024;49.6
200005932;CC des Portes de Sologne;15489;4273;7847;3321;50.8
200005957;CC de la Région de Rambervillers;12958;3854;6341;2804;48.8
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;50678;13381;26025;11801;50.8
200006716;CC du Nogentais;16712;4925;8531;3335;50.8
200006930;CC du Haut Allier;5170;1218;2497;1473;48.1
200006971;CC du Perche;18056;4593;8369;5157;46.2
200007052;CC de la Marche Berrichonne;5571;977;2554;2090;45.4
200007177;CC Pays de Nérondes;4764;1225;2304;1303;47.7
200010650;CA du Grand Dole;54514;15333;26740;12553;49
200010700;CA Caux Seine Agglo;77889;23759;39570;14676;50.7
200011773;CA Annemasse-les Voirons-Agglomération;92176;27492;49980;13089;55.2
200011781;CC Portes du Berry entre Loire et Val d'Aubois;9511;2397;4754;2389;49.8
200013050;CC Sauer-Pechelbronn;17394;4413;9335;3631;53.7
200015162;CC de l'Oriente;6032;1198;3132;1694;52
200016905;CC du Pays de Lamastre;6695;1464;3320;1927;49.5
200017341;CC Lodévois et Larzac;14792;3828;7276;3660;49.3
200017846;CA Étampois Sud-Essonne;55281;18054;28196;8423;51.6
200018083;CC de Desvres-Samer;23289;7408;11804;4089;50.7
200018166;CC Le Grésivaudan;102259;30135;52940;19114;51.8
200018406;CC du Romorantinais et du Monestois;33817;8579;16172;8815;48.2
200018521;CC du Val de Bouzanne;5979;1458;2984;1543;49.8
200018653;CA Cap Excellence;97762;32657;50213;16663;50.4
200022986;CC du Grand Pic Saint-Loup;50490;13889;25374;10413;51.1
200023075;CC du Pays de Maîche;18672;5340;9754;3527;52.4
200023125;CC Les Portes Briardes entre Villes et Forêts;45988;14690;23841;7406;51.9
200023240;CC Pays de Nemours;29469;8666;15008;5899;50.7
200023299;CC Cœur de Tarentaise;9094;2470;4919;1748;53.8
200023307;CA du Grand Villeneuvois;47561;12347;22259;12964;46.8
200023372;CC de la Vallée de Chamonix-Mont-Blanc;13296;3361;7282;2467;55.5
200023414;Métropole Rouen Normandie;496629;159306;242661;92332;49.1
