Niveau de vie Commune,Niveau de vie Département,DEPCOM,PTOT,Nom_commune,Code_postal,coordonnees_gps,lng,lat
25350,,01001,794.0,L ABERGEMENT CLEMENCIAT,1400.0,"46.153721024,4.925850148",46.153721024,4.925850148
23890,,01002,249.0,L ABERGEMENT DE VAREY,1640.0,"46.009605679,5.428087796",46.009605679,5.428087796
20420,,01004,14428.0,AMBERIEU EN BUGEY,1500.0,"45.961048852,5.372275427",45.961048852,5.372275427
24270,,01005,1723.0,AMBERIEUX EN DOMBES,1330.0,"45.99616357,4.911967138",45.99616357,4.911967138
23160,,01007,2841.0,AMBRONAY,1500.0,"46.005690539,5.357748739",46.005690539,5.357748739
26350,,01008,767.0,AMBUTRIX,1500.0,"45.936683389,5.332446671",45.936683389,5.332446671
24580,,01009,339.0,ANDERT ET CONDON,1300.0,"45.787194157,5.657799976",45.787194157,5.657799976
23990,,01010,1132.0,ANGLEFORT,1350.0,"45.909091467,5.795056945",45.909091467,5.795056945
24780,,01011,387.0,APREMONT,1100.0,"46.205877513,5.657980818",46.205877513,5.657980818
21440,,01012,330.0,ARANC,1110.0,"46.001293319,5.510946399",46.001293319,5.510946399
21380,,01013,148.0,ARANDAS,1230.0,"45.890233979,5.498924738",45.890233979,5.498924738
21310,,01014,3459.0,ARBENT,1100.0,"46.283607621,5.690755574",46.283607621,5.690755574
23110,,01015,661.0,ARBOYS EN BUGEY,1300.0,"45.712796712,5.64167722",45.712796712,5.64167722
23110,,01015,661.0,ARBOYS EN BUGEY,1300.0,"45.712796712,5.64167722",45.712796712,5.64167722
21200,,01016,468.0,ARBIGNY,1190.0,"46.477598582,4.960100975",46.477598582,4.960100975
20350,,01017,458.0,ARGIS,1230.0,"45.933504727,5.482593252",45.933504727,5.482593252
24770,,01021,1438.0,ARS SUR FORMANS,1480.0,"45.993537592,4.821960428",45.993537592,4.821960428
20060,,01022,1255.0,ARTEMARE,1510.0,"45.869624164,5.690088298",45.869624164,5.690088298
22910,,01024,3275.0,ATTIGNAT,1340.0,"46.286061273,5.179817579",46.286061273,5.179817579
23020,,01025,4200.0,BAGE DOMMARTIN,1380.0,"46.327468413,4.966993244",46.327468413,4.966993244
23020,,01025,4200.0,BAGE DOMMARTIN,1380.0,"46.327468413,4.966993244",46.327468413,4.966993244
21480,,01026,983.0,BAGE LE CHATEL,1380.0,"46.308270333,4.9298452820000005",46.308270333,4.9298452820000005
24600,,01027,2741.0,BALAN,1360.0,"45.830979009,5.108003865",45.830979009,5.108003865
23340,,01028,611.0,BANEINS,1990.0,"46.114061723,4.901684997",46.114061723,4.901684997
20750,,01029,697.0,BEAUPONT,1270.0,"46.428649695,5.260337095",46.428649695,5.260337095
22250,,01030,880.0,BEAUREGARD,1480.0,"46.000721971,4.756657208",46.000721971,4.756657208
19710,,01031,3859.0,BELLIGNAT,1100.0,"46.238150086,5.635913808",46.238150086,5.635913808
22050,,01032,3362.0,BELIGNEUX,1360.0,"45.859311798,5.140369014",45.859311798,5.140369014
22050,,01032,3362.0,BELIGNEUX,1360.0,"45.859311798,5.140369014",45.859311798,5.140369014
22050,,01032,3362.0,BELIGNEUX,1360.0,"45.859311798,5.140369014",45.859311798,5.140369014
22050,,01032,3362.0,BELIGNEUX,1360.0,"45.859311798,5.140369014",45.859311798,5.140369014
22360,,01033,16804.0,VALSERHONE,1200.0,"46.124111549,5.796482369",46.124111549,5.796482369
22360,,01033,16804.0,VALSERHONE,1200.0,"46.124111549,5.796482369",46.124111549,5.796482369
22360,,01033,16804.0,VALSERHONE,1200.0,"46.124111549,5.796482369",46.124111549,5.796482369
22360,,01033,16804.0,VALSERHONE,1200.0,"46.124111549,5.796482369",46.124111549,5.796482369
22360,,01033,16804.0,VALSERHONE,1200.0,"46.124111549,5.796482369",46.124111549,5.796482369
19900,,01034,9499.0,BELLEY,1300.0,"45.749882762,5.683910513",45.749882762,5.683910513
23570,,01035,322.0,BELLEYDOUX,1130.0,"46.253334104,5.785067125",46.253334104,5.785067125
23190,,01036,1329.0,VALROMEY SUR SERAN,1260.0,"45.918185011,5.6568848240000005",45.918185011,5.6568848240000005
23190,,01036,1329.0,VALROMEY SUR SERAN,1260.0,"45.918185011,5.6568848240000005",45.918185011,5.6568848240000005
23190,,01036,1329.0,VALROMEY SUR SERAN,1260.0,"45.918185011,5.6568848240000005",45.918185011,5.6568848240000005
23190,,01036,1329.0,VALROMEY SUR SERAN,1260.0,"45.918185011,5.6568848240000005",45.918185011,5.6568848240000005
23190,,01036,1329.0,VALROMEY SUR SERAN,1260.0,"45.918185011,5.6568848240000005",45.918185011,5.6568848240000005
23190,,01036,1329.0,VALROMEY SUR SERAN,1260.0,"45.918185011,5.6568848240000005",45.918185011,5.6568848240000005
23190,,01036,1329.0,VALROMEY SUR SERAN,1260.0,"45.918185011,5.6568848240000005",45.918185011,5.6568848240000005
21920,,01037,302.0,BENONCES,1470.0,"45.838144557,5.483119825",45.838144557,5.483119825
22820,,01038,777.0,BENY,1370.0,"46.319387367,5.282567061",46.319387367,5.282567061
21640,,01039,462.0,BEON,1350.0,"45.856484934,5.752398693",45.856484934,5.752398693
21850,,01040,501.0,BEREZIAT,1340.0,"46.367707398,5.039989868",46.367707398,5.039989868
23350,,01041,769.0,BETTANT,1500.0,"45.937720512,5.365979513",45.937720512,5.365979513
24410,,01042,293.0,BEY,1290.0,"46.219516565,4.846226251",46.219516565,4.846226251
27820,,01043,4721.0,BEYNOST,1700.0,"45.839476518,4.99743421",45.839476518,4.99743421
26620,,01044,637.0,BILLIAT,1200.0,"46.079406273,5.765548016",46.079406273,5.765548016
26550,,01045,287.0,BIRIEUX,1330.0,"45.953187919,5.037212561",45.953187919,5.037212561
22290,,01046,885.0,BIZIAT,1290.0,"46.226338767,4.941082276",46.226338767,4.941082276
25760,,01047,1032.0,BLYES,1150.0,"45.847070433,5.251661374",45.847070433,5.251661374
25330,,01049,3267.0,LA BOISSE,1120.0,"45.844628451,5.028332382",45.844628451,5.028332382
20370,,01050,342.0,BOISSEY,1380.0,"46.373043501,4.998844748",46.373043501,4.998844748
20370,,01050,342.0,BOISSEY,1190.0,"46.373043501,4.998844748",46.373043501,4.998844748
26120,,01052,334.0,BOULIGNEUX,1330.0,"46.023044402,4.992313384",46.023044402,4.992313384
19180,,01053,43306.0,BOURG EN BRESSE,1000.0,"46.205013838,5.245593605",46.205013838,5.245593605
19180,,01053,43306.0,BOURG EN BRESSE,1000.0,"46.205013838,5.245593605",46.205013838,5.245593605
26650,,01054,1395.0,BOURG ST CHRISTOPHE,1800.0,"45.886247155,5.143599073",45.886247155,5.143599073
26650,,01054,1395.0,BOURG ST CHRISTOPHE,1800.0,"45.886247155,5.143599073",45.886247155,5.143599073
21530,,01056,351.0,BOYEUX ST JEROME,1640.0,"46.036053911,5.463119438",46.036053911,5.463119438
22720,,01057,519.0,BOZ,1190.0,"46.405530214,4.913724",46.405530214,4.913724
23080,,01058,852.0,BREGNIER CORDON,1300.0,"45.641317771,5.616806128",45.641317771,5.616806128
23880,,01060,530.0,BRENOD,1110.0,"46.075616229,5.614402984",46.075616229,5.614402984
23360,,01061,1193.0,BRENS,1300.0,"45.713937941,5.689263883",45.713937941,5.689263883
27880,,01062,931.0,BRESSOLLES,1360.0,"45.86942733,5.101495053",45.86942733,5.101495053
27880,,01062,931.0,BRESSOLLES,1360.0,"45.86942733,5.101495053",45.86942733,5.101495053
24980,,01063,528.0,BRION,1460.0,"46.168166789,5.546506151",46.168166789,5.546506151
22180,,01064,1026.0,BRIORD,1470.0,"45.770630041,5.485482939",45.770630041,5.485482939
25380,,01065,1845.0,BUELLAS,1310.0,"46.210586509,5.145274303",46.210586509,5.145274303
25380,,01065,1845.0,BUELLAS,1310.0,"46.210586509,5.145274303",46.210586509,5.145274303
24480,,01067,267.0,CEIGNES,1430.0,"46.125618677,5.495155483",46.125618677,5.495155483
21210,,01068,797.0,CERDON,1450.0,"46.071947147,5.476107384",46.071947147,5.476107384
24530,,01069,1557.0,CERTINES,1240.0,"46.13346457,5.262432008",46.13346457,5.262432008
38750,,01071,4972.0,CESSY,1170.0,"46.316089437,6.078030245",46.316089437,6.078030245
24010,,01072,3218.0,CEYZERIAT,1250.0,"46.183403875,5.319678283",46.183403875,5.319678283
24290,,01073,1033.0,CEYZERIEU,1350.0,"45.833507381,5.719105551",45.833507381,5.719105551
22040,,01074,2484.0,CHALAMONT,1320.0,"46.007577226,5.169368719",46.007577226,5.169368719
24430,,01075,1376.0,CHALEINS,1480.0,"46.03393089,4.798634776",46.03393089,4.798634776
20850,,01076,133.0,CHALEY,1230.0,"45.954366591,5.536967199",45.954366591,5.536967199
22950,,01077,197.0,CHALLES LA MONTAGNE,1450.0,"46.122300221,5.457513206",46.122300221,5.457513206
40050,,01078,1498.0,CHALLEX,1630.0,"46.176874001,5.971497204",46.176874001,5.971497204
20540,,01079,851.0,CHAMPAGNE EN VALROMEY,1260.0,"45.93196511,5.6931331190000005",45.93196511,5.6931331190000005
20540,,01079,851.0,CHAMPAGNE EN VALROMEY,1260.0,"45.93196511,5.6931331190000005",45.93196511,5.6931331190000005
20540,,01079,851.0,CHAMPAGNE EN VALROMEY,1260.0,"45.93196511,5.6931331190000005",45.93196511,5.6931331190000005
22600,,01080,665.0,CHAMPDOR CORCELLES,1110.0,"46.028576252,5.5880089040000005",46.028576252,5.5880089040000005
22600,,01080,665.0,CHAMPDOR CORCELLES,1110.0,"46.028576252,5.5880089040000005",46.028576252,5.5880089040000005
24510,,01081,750.0,CHAMPFROMIER,1410.0,"46.220471277,5.822270927",46.220471277,5.822270927
24640,,01082,639.0,CHANAY,1420.0,"46.005822693,5.768694464",46.005822693,5.768694464
24150,,01083,925.0,CHANEINS,1990.0,"46.093517041,4.854300227",46.093517041,4.854300227
23310,,01084,861.0,CHANOZ CHATENAY,1400.0,"46.185700461,5.028865152",46.185700461,5.028865152
23740,,01085,393.0,LA CHAPELLE DU CHATELARD,1240.0,"46.073407767,5.021766424",46.073407767,5.021766424
23860,,01087,295.0,CHARIX,1130.0,"46.185606234,5.680768417",46.185606234,5.680768417
27540,,01088,940.0,CHARNOZ SUR AIN,1800.0,"45.874182776,5.221971236",45.874182776,5.221971236
23110,,01089,2187.0,CHATEAU GAILLARD,1500.0,"45.972849668,5.307314958",45.972849668,5.307314958
22670,,01090,345.0,CHATENAY,1320.0,"46.025881406,5.204590322",46.025881406,5.204590322
23950,,01092,1652.0,CHATILLON LA PALUD,1320.0,"45.974829804,5.241474204",45.974829804,5.241474204
22090,,01093,5060.0,CHATILLON SUR CHALARONNE,1400.0,"46.122927177,4.957950327",46.122927177,4.957950327
21990,,01094,765.0,CHAVANNES SUR REYSSOUZE,1190.0,"46.438056692,5.006564061",46.438056692,5.006564061
21690,,01095,825.0,NIVIGNE ET SURAN,1250.0,"46.283759087,5.426610623",46.283759087,5.426610623
21690,,01095,825.0,NIVIGNE ET SURAN,1250.0,"46.283759087,5.426610623",46.283759087,5.426610623
22370,,01096,1037.0,CHAVEYRIAT,1660.0,"46.199364763,5.056028558",46.199364763,5.056028558
21220,,01098,1148.0,CHAZEY BONS,1300.0,"45.800812797,5.673644385",45.800812797,5.673644385
21220,,01098,1148.0,CHAZEY BONS,1510.0,"45.800812797,5.673644385",45.800812797,5.673644385
25160,,01099,1551.0,CHAZEY SUR AIN,1150.0,"45.893242753,5.254787754",45.893242753,5.254787754
20930,,01100,138.0,CHEIGNIEU LA BALME,1510.0,"45.822895805,5.604830013",45.822895805,5.604830013
26970,,01101,160.0,CHEVILLARD,1430.0,"46.110541974,5.581393787",46.110541974,5.581393787
22340,,01102,967.0,CHEVROUX,1190.0,"46.382465302,4.96295233",46.382465302,4.96295233
38910,,01103,1852.0,CHEVRY,1170.0,"46.283052925,6.047291131",46.283052925,6.047291131
25130,,01104,478.0,CHEZERY FORENS,1200.0,"46.222560403,5.872426209",46.222560403,5.872426209
25130,,01104,478.0,CHEZERY FORENS,1410.0,"46.222560403,5.872426209",46.222560403,5.872426209
27430,,01105,1736.0,CIVRIEUX,1390.0,"45.922942274,4.88661781",45.922942274,4.88661781
21070,,01106,181.0,CIZE,1250.0,"46.200571572,5.450819845",46.200571572,5.450819845
22420,,01107,140.0,CLEYZIEU,1230.0,"45.902697686,5.432785798",45.902697686,5.432785798
21470,,01108,1206.0,COLIGNY,1270.0,"46.386677691,5.330424959",46.386677691,5.330424959
31720,,01109,2265.0,COLLONGES,1550.0,"46.14254416,5.8997020110000005",46.14254416,5.8997020110000005
20500,,01110,142.0,COLOMIEU,1300.0,"45.736541941,5.627101669",45.736541941,5.627101669
20800,,01111,125.0,CONAND,1230.0,"45.884053467,5.475347591",45.884053467,5.475347591
23960,,01112,448.0,CONDAMINE,1430.0,"46.105853185,5.555763365",46.105853185,5.555763365
21470,,01113,835.0,CONDEISSIAT,1400.0,"46.153630976,5.084742227",46.153630976,5.084742227
27670,,01114,660.0,CONFORT,1200.0,"46.154319846,5.832712881",46.154319846,5.832712881
22080,,01115,1365.0,CONFRANCON,1310.0,"46.270495708,5.057684099",46.270495708,5.057684099
21980,,01116,510.0,CONTREVOZ,1300.0,"45.801189694,5.620039731",45.801189694,5.620039731
22190,,01117,150.0,CONZIEU,1300.0,"45.725559026,5.60426246",45.725559026,5.60426246
24790,,01118,1297.0,CORBONOD,1420.0,"45.966152692,5.789641772",45.966152692,5.789641772
23290,,01121,115.0,CORLIER,1110.0,"46.033238796,5.49675279",46.033238796,5.49675279
24030,,01123,1175.0,CORMORANCHE SUR SAONE,1290.0,"46.241130758,4.827940144",46.241130758,4.827940144
21760,,01124,679.0,CORMOZ,1560.0,"46.433602116,5.221431179",46.433602116,5.221431179
22630,,01125,634.0,CORVEISSIAT,1250.0,"46.250905649,5.471571612",46.250905649,5.471571612
22940,,01127,516.0,COURMANGOUX,1370.0,"46.326589431,5.355779855",46.326589431,5.355779855
20750,,01128,315.0,COURTES,1560.0,"46.456933571,5.110909724",46.456933571,5.110909724
24490,,01129,270.0,CRANS,1320.0,"45.966451737,5.195121184",45.966451737,5.195121184
22970,,01130,2327.0,BRESSE VALLONS,1340.0,"46.324861585,5.18476155",46.324861585,5.18476155
22970,,01130,2327.0,BRESSE VALLONS,1340.0,"46.324861585,5.18476155",46.324861585,5.18476155
24390,,01133,403.0,CRESSIN ROCHEFORT,1350.0,"45.782891957,5.765321336",45.782891957,5.765321336
23210,,01134,1777.0,CROTTET,1290.0,"46.283058978,4.877612001",46.283058978,4.877612001
23210,,01134,1777.0,CROTTET,1750.0,"46.283058978,4.877612001",46.283058978,4.877612001
38240,,01135,2201.0,CROZET,1170.0,"46.291682935,5.995342333",46.291682935,5.995342333
23120,,01136,888.0,CRUZILLES LES MEPILLAT,1290.0,"46.221287172,4.875091409",46.221287172,4.875091409
20130,,01138,3082.0,CULOZ,1350.0,"45.856261299,5.783896526",45.856261299,5.783896526
21020,,01139,445.0,CURCIAT DONGALON,1560.0,"46.488378441,5.162792791",46.488378441,5.162792791
24370,,01140,789.0,CURTAFOND,1310.0,"46.272845103,5.102586674",46.272845103,5.102586674
24320,,01141,463.0,CUZIEU,1300.0,"45.819789364,5.676212455",45.819789364,5.676212455
24420,,01142,4772.0,DAGNEUX,1120.0,"45.853464731,5.072826764",45.853464731,5.072826764
