Insee - Statistiques locales; ; ; ; 
Référentiel géographique : France par commune; ; ; ; 
Code;Libellé;Population municipale 2020;Répartition de la pop. en 3 classes d'âges 2019 - Moins de 25 ans;Répartition de la pop. en 3 classes d'âges 2019 - Entre 25 et 64 ans;Répartition de la pop. en 3 classes d'âges 2019 - 65 ans ou plus;Part des pers. âgées de 25 à 64 ans 2019
01001;L'Abergement-Clémenciat;806;227;401;151;51.5
01002;L'Abergement-de-Varey;262;75;136;46;53
01004;Ambérieu-en-Bugey;14288;4552;7109;2473;50.3
01005;Ambérieux-en-Dombes;1782;506;962;283;54.9
01006;Ambléon;113;22;63;26;56.4
01007;Ambronay;2827;872;1473;455;52.6
01008;Ambutrix;768;219;440;104;57.7
01009;Andert-et-Condon;324;82;153;91;46.9
01010;Anglefort;1101;343;581;181;52.6
01011;Apremont;368;109;194;66;52.6
01012;Aranc;327;88;155;85;47.2
01013;Arandas;143;40;74;29;52.1
01014;Arbent;3336;953;1703;693;50.8
01015;Arboys en Bugey;663;164;322;164;49.5
01016;Arbigny;458;137;225;98;48.9
01017;Argis;445;132;231;94;50.5
01019;Armix;26;5;14;8;50
01021;Ars-sur-Formans;1490;454;768;234;52.7
01022;Artemare;1213;327;633;289;50.7
01023;Asnières-sur-Saône;76;20;42;14;55.3
01024;Attignat;3299;1022;1678;551;51.6
01025;Bâgé-Dommartin;4068;1272;2135;658;52.5
01026;Bâgé-le-Châtel;977;259;468;246;48.1
01027;Balan;2647;1057;1267;240;49.4
01028;Baneins;625;200;310;107;50.2
01029;Beaupont;683;176;388;121;56.7
01030;Beauregard;821;257;446;126;53.8
01031;Bellignat;3671;1175;1863;614;51
01032;Béligneux;3414;1215;1710;451;50.7
01033;Valserhône;16434;5082;8645;2650;52.8
01034;Belley;9207;2640;4431;2111;48.3
01035;Belleydoux;308;71;180;58;58.1
01036;Valromey-sur-Séran;1334;321;664;341;50.1
01037;Bénonces;309;87;154;67;49.9
01038;Bény;759;222;389;144;51.5
01039;Béon;439;124;236;84;53.2
01040;Béréziat;480;153;259;74;53.3
01041;Bettant;748;206;413;129;55.2
01042;Bey;291;81;162;47;55.8
01043;Beynost;4829;1483;2409;862;50.7
01044;Billiat;628;210;323;99;51.1
01045;Birieux;285;91;153;38;54.1
01046;Biziat;912;291;481;124;53.7
01047;Blyes;1269;407;666;109;56.3
01049;La Boisse;3335;1063;1704;516;51.9
01050;Boissey;380;131;186;48;51.1
01051;Bolozon;91;13;50;28;55.1
01052;Bouligneux;332;89;161;78;49.1
01053;Bourg-en-Bresse;41681;12500;19246;9365;46.8
01054;Bourg-Saint-Christophe;1482;472;809;175;55.6
01056;Boyeux-Saint-Jérôme;351;98;175;76;50.3
01057;Boz;514;163;275;82;52.9
01058;Brégnier-Cordon;819;247;407;174;49.2
01060;Brénod;486;123;239;131;48.4
01061;Brens;1133;311;600;233;52.4
01062;Bressolles;951;292;497;145;53.2
01063;Brion;561;132;268;133;50.3
01064;Briord;1095;329;622;118;58.2
01065;Buellas;1825;510;943;359;52
01066;La Burbanche;92;26;48;15;53.9
01067;Ceignes;259;74;157;24;61.6
01068;Cerdon;771;208;385;182;49.7
01069;Certines;1514;445;843;215;56.1
01071;Cessy;5045;1570;2800;438;58.2
01072;Ceyzériat;3202;929;1611;654;50.4
01073;Ceyzérieu;995;245;511;245;51.1
01074;Chalamont;2574;843;1252;494;48.3
01075;Chaleins;1402;449;753;179;54.5
01076;Chaley;122;19;64;41;51.5
