name,address,business_status,latitude,longitude,coordonnees_gps,temp
Pista de pádel,"Diseminado Diseminados, 14, Villovieco",OPERATIONAL,-4.4833536,42.2929338,"42.2929338,-4.4833536",-4.4833536
Pistas de pádel,"C. la Motilla, 4, Villagonzalo Pedernales",OPERATIONAL,-3.739499699999999,42.3004506,"42.3004506,-3.739499699999999",-3.739499699999999
Pista Pádel,Unnamed Road 09390,OPERATIONAL,-3.6916684,42.0951206,"42.0951206,-3.6916684",-3.6916684
Pista de padel,"Calle la Iglesia, 22, Igea",OPERATIONAL,-2.0075315,42.070266,"42.070266,-2.0075315",-2.0075315
Gpadel,"C. Zapatilleros, 54, Arnedo",OPERATIONAL,-2.0859012,42.2339439,"42.2339439,-2.0859012",-2.0859012
Pista de Pádel,El Villar de Arnedo,OPERATIONAL,-2.0924985,42.3206131,"42.3206131,-2.0924985",-2.0924985
Padel Club Rioja,"Av. Logroño, 42, Arnedo",CLOSED_TEMPORARILY,-2.0937533,42.2324989,"42.2324989,-2.0937533",-2.0937533
Inpadel,"C. San Lázaro, 45, Calahorra",OPERATIONAL,-1.9448715,42.2920494,"42.2920494,-1.9448715",-1.9448715
Pistas de padel.,Funes,CLOSED_TEMPORARILY,-1.8019486,42.3182045,"42.3182045,-1.8019486",-1.8019486
Pistas Deportivas Arrabal,Cintruénigo,OPERATIONAL,-1.8065412,42.0749402,"42.0749402,-1.8065412",-1.8065412
Ultimate Padel Villafranca,"C. Carretera, Villafranca",OPERATIONAL,-1.7445322,42.2725754,"42.2725754,-1.7445322",-1.7445322
RÍOS Pádel Club,"C. de La Rioja, Tudela",OPERATIONAL,-1.6347392,42.0654417,"42.0654417,-1.6347392",-1.6347392
Pádel Castejón,"Pol. Ind., Castejón",OPERATIONAL,-1.6879819,42.1736073,"42.1736073,-1.6879819",-1.6879819
MisterPadelEjea,Ejea de los Caballeros,OPERATIONAL,-1.1708125,42.1320478,"42.1320478,-1.1708125",-1.1708125
